District,Block,Population,Literacy_Rate,Rural_Percentage,No_of_Schools,Dropout_Rate,Lat,Long
Chennai,Block_765,407281,83.9,57,68,14.7,13.3797,77.7808
Thoothukudi,Block_766,457936,73.1,59,33,11.3,13.4599,77.43
Cuddalore,Block_767,208252,65.4,38,183,5.5,8.8292,76.3171
Pudukkottai,Block_768,413155,66.0,12,72,14.9,12.1474,76.8948
Coimbatore,Block_769,101643,75.6,27,110,8.5,11.0196,79.3329
Thanjavur,Block_770,82936,70.6,40,149,14.2,12.722,79.4581
Pudukkottai,Block_771,62037,72.9,22,196,12.1,12.1395,76.1542
Krishnagiri,Block_772,323095,84.0,66,25,7.3,12.1223,78.0076
Karur,Block_773,278989,89.7,25,200,8.6,10.5934,78.4063
Chennai,Block_774,145953,74.8,50,53,7.1,8.3595,80.0564
Cuddalore,Block_775,295477,80.4,2,186,7.9,11.4731,77.8935
Madurai,Block_776,305619,86.4,22,41,13.7,10.385,77.3642
Karur,Block_777,151568,67.8,34,144,4.1,10.6963,79.2981
Ramanathapuram,Block_778,465051,68.3,28,60,11.5,10.4025,77.9102
Cuddalore,Block_779,458659,73.4,43,137,11.9,8.1005,77.0275
Vellore,Block_780,68374,81.5,6,145,10.2,12.2406,78.7206
Virudhunagar,Block_781,78165,73.0,71,137,14.9,11.111,78.2106
Theni,Block_782,94841,87.3,23,190,7.4,9.0269,80.0201
Pudukkottai,Block_783,241341,67.8,29,75,12.1,12.1436,78.3561
Krishnagiri,Block_784,264312,83.2,25,152,7.5,10.2909,79.3852
Coimbatore,Block_785,346859,90.5,55,33,7.7,10.2531,77.0843
Virudhunagar,Block_786,290662,82.8,9,70,10.0,12.0875,80.4952
Perambalur,Block_787,232367,87.8,78,110,7.9,8.7025,77.0165
Tiruppur,Block_788,386808,70.7,54,53,6.7,9.7659,79.4509
Namakkal,Block_789,203579,88.0,17,121,10.4,13.1935,77.7315
Kanchipuram,Block_790,241958,77.9,74,38,4.7,8.6204,78.7007
Virudhunagar,Block_791,306286,85.6,57,146,8.1,10.6792,76.8872
Ariyalur,Block_792,238525,67.4,33,101,12.3,12.4127,77.7287
Vellore,Block_793,409065,67.9,59,135,8.5,8.0688,79.6943
Tiruppur,Block_794,130444,79.9,30,31,7.5,10.7442,77.2629
Tirunelveli,Block_795,78904,81.4,35,42,7.3,12.8065,78.8912
Theni,Block_796,122516,77.9,44,172,7.4,10.8108,78.6791
Trichy,Block_797,164777,65.6,29,160,11.8,10.5014,78.7138
Coimbatore,Block_798,348870,72.1,60,153,6.3,11.9651,79.0484
Virudhunagar,Block_799,72037,68.2,15,116,9.5,9.848,77.9471
Nilgiris,Block_800,473604,76.8,72,66,8.6,11.7788,77.9232
Ramanathapuram,Block_801,444206,67.4,53,132,9.4,9.4044,76.0172
Tiruvarur,Block_802,325773,86.1,40,68,6.8,13.292,79.6153
Cuddalore,Block_803,493737,73.1,41,131,4.8,8.8755,76.6146
Kanchipuram,Block_804,190963,75.7,77,105,11.8,9.3047,79.4988
Virudhunagar,Block_805,410587,80.2,14,72,10.2,9.672,78.219
Cuddalore,Block_806,133105,67.6,33,86,11.9,12.6271,79.5858
Tiruvallur,Block_807,168518,89.5,9,57,8.0,11.6524,77.3516
Thoothukudi,Block_808,218572,82.7,33,27,10.6,11.6845,78.9024
Virudhunagar,Block_809,110388,66.7,25,190,7.3,13.2655,79.4275
Trichy,Block_810,328670,88.4,28,66,4.5,12.4865,76.9845
Trichy,Block_811,60898,73.9,0,129,8.4,11.3007,78.7592
Vellore,Block_812,459900,74.6,18,193,5.0,11.495,79.0568
Pudukkottai,Block_813,244544,79.8,75,104,11.9,10.0436,77.2349
Ramanathapuram,Block_814,460985,70.0,2,197,13.2,8.9562,78.6455
Ramanathapuram,Block_815,252632,72.7,39,52,14.2,11.2392,80.483
Vellore,Block_816,271946,87.1,72,144,5.5,8.722,79.0589
Viluppuram,Block_817,390115,66.8,24,129,10.0,12.2144,77.3002
Namakkal,Block_818,76778,73.4,53,53,8.8,12.1872,76.5076
Theni,Block_819,267065,66.0,79,83,4.0,11.758,78.2975
Dindigul,Block_820,323541,89.8,57,79,13.6,11.6971,76.319
Madurai,Block_821,208712,70.4,49,65,4.6,10.7412,77.0591
Trichy,Block_822,480848,71.1,1,143,14.5,8.312,76.9028
Kanchipuram,Block_823,341653,73.5,16,34,5.2,11.7973,78.5
Salem,Block_824,110483,75.8,9,36,5.5,12.8014,77.6897
Karur,Block_825,342100,86.7,31,94,5.6,13.3367,79.6897
Coimbatore,Block_826,181865,73.0,14,137,3.3,13.4237,76.0039
Erode,Block_827,474792,89.0,26,110,5.5,12.0026,79.3601
Coimbatore,Block_828,458082,89.2,59,80,6.3,11.9639,79.853
Cuddalore,Block_829,284444,69.0,74,197,6.3,12.7717,77.7717
Nagapattinam,Block_830,78771,71.5,17,105,14.5,9.6296,79.6126
Kanchipuram,Block_831,65221,72.4,37,86,9.8,8.0399,80.0956
Nilgiris,Block_832,105822,78.6,48,167,12.7,9.1449,80.3219
Tiruvallur,Block_833,281297,78.9,21,39,10.1,12.2656,78.4699
Sivagangai,Block_834,52082,79.5,61,193,4.7,11.9351,76.2051
Tirunelveli,Block_835,412785,84.1,26,33,9.5,13.4078,77.9294
Ramanathapuram,Block_836,439424,75.3,42,56,13.0,10.5892,76.9489
Tiruvallur,Block_837,116578,76.6,67,187,5.7,13.0485,78.4804
Tiruppur,Block_838,295321,72.1,42,47,10.3,13.237,76.2887
Karur,Block_839,120616,87.3,29,57,13.7,10.134,78.3541
Trichy,Block_840,446699,83.0,80,178,5.1,13.2889,78.7091
Chennai,Block_841,370658,67.7,25,111,8.1,10.5398,79.6534
Nagapattinam,Block_842,236329,82.5,66,165,11.3,13.4711,80.3713
Tiruvallur,Block_843,252988,69.7,15,150,3.4,8.6124,78.8234
Karur,Block_844,391126,83.8,60,194,8.2,10.02,79.7533
Vellore,Block_845,455025,66.0,44,89,10.2,8.5231,77.798
Ramanathapuram,Block_846,321829,89.8,21,164,8.7,9.8895,79.1748
Karur,Block_847,171226,71.9,23,60,9.2,9.8876,79.9322
Pudukkottai,Block_848,409884,74.4,13,82,7.1,10.3639,78.0869
Thoothukudi,Block_849,422690,74.6,74,152,4.8,11.8307,76.1174
Dindigul,Block_850,54138,77.7,39,67,7.4,11.3705,77.8098
Dindigul,Block_851,91708,68.1,5,41,9.1,8.4219,77.2369
Trichy,Block_852,81065,86.7,5,95,11.5,10.1678,79.3799
Sivagangai,Block_853,122437,82.9,77,99,4.7,10.7611,80.1304
Nilgiris,Block_854,366574,75.8,79,109,15.0,11.8058,78.6814
Ariyalur,Block_855,314069,89.2,39,79,12.0,12.3893,79.0582
Ariyalur,Block_856,350490,65.2,6,93,13.8,9.057,76.2317
Kanchipuram,Block_857,167767,70.8,38,39,4.5,9.7999,76.5322
Krishnagiri,Block_858,77244,89.0,62,132,5.3,10.8771,78.2942
Tiruppur,Block_859,490956,82.7,55,112,3.7,12.6625,76.6986
Kanchipuram,Block_860,90647,71.6,33,81,13.9,8.3014,78.2396
Kanchipuram,Block_861,95123,70.5,60,123,3.2,12.3972,79.7078
Nilgiris,Block_862,56782,79.5,74,165,5.4,11.4775,76.2804
Cuddalore,Block_863,58578,74.0,77,85,14.5,11.2369,76.6782
Sivagangai,Block_864,361753,79.4,16,24,13.5,10.517,76.2543
Dindigul,Block_865,235410,69.0,17,133,7.5,8.319,76.7887
Vellore,Block_866,334593,91.2,9,93,9.2,12.0932,77.5155
Tiruvallur,Block_867,265407,83.5,48,71,12.4,9.117,80.0102
Ariyalur,Block_868,302158,69.1,27,198,13.4,13.4701,80.3517
Chennai,Block_869,161883,91.1,17,167,6.4,10.0199,77.432
Ariyalur,Block_870,115184,65.8,1,71,5.6,8.0518,79.1986
Nagapattinam,Block_871,193936,77.0,13,123,11.6,12.446,80.4949
Ramanathapuram,Block_872,162148,75.3,45,50,5.9,10.5227,78.4376
Viluppuram,Block_873,124027,85.2,2,134,3.3,12.6159,77.674
Viluppuram,Block_874,474655,73.3,49,164,10.8,12.6705,76.0643
Salem,Block_875,384380,79.1,78,189,13.6,10.1318,78.5961
Erode,Block_876,180339,67.5,22,160,6.0,9.2535,77.6423
Ariyalur,Block_877,197532,73.9,20,105,14.1,9.8305,79.9188
Trichy,Block_878,487694,67.1,77,99,4.8,8.2156,77.4997
Salem,Block_879,314104,88.9,38,165,5.2,8.4065,77.5647
Theni,Block_880,318765,81.9,34,75,10.9,13.4317,79.7482
Ariyalur,Block_881,248253,75.2,59,166,7.7,10.7763,76.0732
Tirunelveli,Block_882,357975,85.3,39,67,13.0,10.6174,78.3311
Ramanathapuram,Block_883,411697,86.8,75,50,4.9,8.5586,78.3761
Theni,Block_884,333317,87.1,41,102,13.9,8.1411,79.1902
Coimbatore,Block_885,177262,79.4,71,153,11.3,11.243,76.9225
Nagapattinam,Block_886,336577,80.9,59,169,14.0,9.5584,76.8611
Sivagangai,Block_887,99822,73.9,68,113,14.8,13.1332,76.6625
Nilgiris,Block_888,423743,74.7,19,81,13.9,8.0146,79.2993
Madurai,Block_889,393430,67.2,63,37,14.4,11.6459,76.0423
Vellore,Block_890,106403,90.2,37,154,3.9,11.587,77.7135
Salem,Block_891,74753,65.7,29,108,13.9,8.1128,76.2831
Trichy,Block_892,466905,80.5,69,105,13.1,11.4931,77.7789
Tiruvarur,Block_893,207653,71.5,59,41,11.0,11.4807,76.4776
Coimbatore,Block_894,437949,70.7,11,74,11.1,10.2492,78.3989
Sivagangai,Block_895,58353,90.3,9,26,10.0,13.1245,77.2039
Ariyalur,Block_896,187361,83.8,63,162,14.6,13.4909,78.7217
Trichy,Block_897,276318,66.8,43,139,10.1,10.4624,77.4937
Perambalur,Block_898,462946,68.3,79,133,3.6,9.7993,76.0591
Pudukkottai,Block_899,133274,81.2,74,102,4.4,12.0834,76.5151
Viluppuram,Block_900,95183,90.5,66,26,7.3,8.8896,78.1016
Thoothukudi,Block_901,382653,85.6,5,119,9.2,8.3579,76.5317
Trichy,Block_902,311354,84.8,69,121,14.5,12.2516,78.8009
Viluppuram,Block_903,68324,79.2,21,193,6.0,8.3076,77.3946
Tirunelveli,Block_904,151440,87.1,79,114,3.6,8.9224,78.7229
Karur,Block_905,160489,67.8,32,107,4.3,9.1998,79.9762
Virudhunagar,Block_906,60756,86.8,75,27,13.5,11.9918,76.5949
Karur,Block_907,466344,78.9,65,157,9.2,9.3995,77.9221
Pudukkottai,Block_908,488988,75.4,66,131,10.8,8.0898,77.6161
Cuddalore,Block_909,279670,75.9,7,168,4.9,10.0469,78.6039
Nagapattinam,Block_910,270177,85.4,60,55,4.3,8.3492,79.0033
Chennai,Block_911,461880,75.2,50,48,3.3,10.7773,76.0619
Ramanathapuram,Block_912,352508,76.4,66,69,12.3,12.5283,79.4331
Tiruppur,Block_913,414280,78.7,33,116,14.0,8.0097,77.842
Ariyalur,Block_914,144875,67.9,73,46,6.3,12.7576,77.6763
Sivagangai,Block_915,486631,65.8,58,77,9.3,10.9161,76.5322
Madurai,Block_916,349445,72.6,74,78,13.7,8.557,77.3181
Tiruvallur,Block_917,468717,86.7,36,167,13.3,11.0858,76.7806
Tiruvallur,Block_918,376219,83.1,31,23,8.3,12.4439,76.6819
Nagapattinam,Block_919,204540,77.2,69,66,6.7,10.1641,80.2251
Erode,Block_920,173443,75.4,26,136,9.9,8.2161,78.8773
Pudukkottai,Block_921,390297,78.4,10,147,5.1,13.1294,76.4411
Nagapattinam,Block_922,401392,91.3,8,53,14.6,12.7854,77.0655
Karur,Block_923,477761,86.0,3,49,3.1,10.9649,77.5948
Tirunelveli,Block_924,346595,90.2,12,35,6.5,8.8266,79.2008
Tiruvarur,Block_925,85341,77.7,70,151,10.7,10.1907,80.34
Krishnagiri,Block_926,424853,87.7,7,103,14.3,12.1679,79.0399
Pudukkottai,Block_927,209952,78.6,40,137,5.5,13.3244,79.8936
Madurai,Block_928,210282,91.8,20,200,13.8,8.8822,80.197
Thanjavur,Block_929,371817,79.4,64,185,9.5,10.5698,77.9257
Viluppuram,Block_930,149030,83.0,17,56,11.3,11.3542,77.2152
Krishnagiri,Block_931,198898,78.4,16,94,13.7,9.3372,79.1554
Ariyalur,Block_932,196465,69.1,15,40,11.1,13.2859,76.6031
Pudukkottai,Block_933,358550,73.7,19,80,4.5,10.5171,79.0909
Tiruppur,Block_934,237790,70.4,23,29,8.0,10.31,77.4762
Perambalur,Block_935,435822,86.1,43,193,9.7,12.5673,77.1367
Theni,Block_936,414286,88.0,61,149,9.6,12.3209,78.1718
Chennai,Block_937,413375,68.0,74,29,14.6,12.3767,80.2649
Madurai,Block_938,319469,77.6,65,90,14.9,11.3629,77.4784
Namakkal,Block_939,97459,76.5,72,75,3.0,9.8738,79.1346
Ariyalur,Block_940,117302,91.2,52,130,13.2,11.7823,80.1696
Tiruvallur,Block_941,436133,84.2,20,180,7.4,12.4874,76.8905
Chennai,Block_942,128853,87.3,10,84,3.2,13.0147,77.364
Virudhunagar,Block_943,90305,70.3,16,32,4.3,12.3623,76.2729
Pudukkottai,Block_944,62308,78.3,56,110,8.9,10.3252,78.6277
Tirunelveli,Block_945,305943,78.5,10,34,4.5,10.8367,79.1546
Theni,Block_946,319049,77.7,50,157,8.9,12.0788,80.295
Theni,Block_947,156593,74.3,44,147,5.3,12.1292,77.338
Virudhunagar,Block_948,242832,87.2,32,158,11.6,8.7948,76.0872
Karur,Block_949,232757,84.4,61,199,4.2,11.756,77.9182
Karur,Block_950,328714,91.1,11,89,3.9,12.4312,76.0756
Tiruppur,Block_951,299770,68.8,35,168,10.2,8.6597,77.2256
Nagapattinam,Block_952,162935,65.2,50,52,14.1,9.5396,80.1302
Kanchipuram,Block_953,73049,73.5,42,89,4.5,12.0488,78.9476
Erode,Block_954,158145,68.0,77,58,10.1,12.9863,76.0665
Dindigul,Block_955,322469,70.1,69,102,14.6,9.5659,80.3626
Madurai,Block_956,112720,66.3,35,138,7.5,11.8376,78.2229
Coimbatore,Block_957,484921,71.1,40,124,10.6,8.9964,77.9451
Tiruvarur,Block_958,373297,90.1,6,126,9.5,12.305,77.4257
Namakkal,Block_959,309264,67.0,75,94,3.6,8.2038,78.0729
Ramanathapuram,Block_960,158033,86.7,74,185,6.7,9.6634,79.7986
Pudukkottai,Block_961,149456,70.5,47,124,14.8,12.3567,78.103
Thoothukudi,Block_962,230077,72.9,23,116,7.5,10.4751,76.0092
Cuddalore,Block_963,129384,78.3,44,136,10.5,12.1411,78.9873
Sivagangai,Block_964,423435,72.7,45,21,14.9,13.4178,79.5669
Nagapattinam,Block_965,429112,69.9,10,163,3.8,12.0415,76.8329
Coimbatore,Block_966,314145,84.7,11,154,11.2,10.1668,79.3165
Namakkal,Block_967,393500,81.3,18,188,14.6,10.6539,79.9762
Kanchipuram,Block_968,425996,81.3,67,41,9.1,9.1414,77.0128
Madurai,Block_969,352925,81.2,80,86,10.4,13.1799,79.3332
Nilgiris,Block_970,249517,74.4,4,74,3.5,9.5633,76.6606
Coimbatore,Block_971,73088,81.0,7,107,5.1,9.2371,77.8999
Tiruvallur,Block_972,474900,76.0,53,108,9.5,10.6706,78.4578
Cuddalore,Block_973,475107,91.1,32,32,9.3,10.4076,77.4152
Thanjavur,Block_974,143071,71.6,12,58,6.3,10.3807,78.5411
Virudhunagar,Block_975,431121,83.0,62,194,8.0,11.5989,79.4029
Kanchipuram,Block_976,332753,72.3,43,139,3.8,10.8137,78.0954
Tiruvallur,Block_977,390624,77.0,56,108,15.0,12.4064,76.9046
Viluppuram,Block_978,123178,91.5,7,87,9.6,11.1933,77.4682
Nagapattinam,Block_979,491923,69.8,44,147,14.6,12.5274,76.8857
Sivagangai,Block_980,283192,66.6,70,79,10.3,11.0355,79.8037
Cuddalore,Block_981,321033,91.4,2,108,8.7,11.2556,79.733
Cuddalore,Block_982,190627,68.0,76,119,12.3,12.5217,77.5221
Namakkal,Block_983,113308,88.4,80,139,4.0,12.8546,77.8538
Karur,Block_984,87716,78.4,35,106,8.9,10.9617,77.661
Nagapattinam,Block_985,372836,67.4,27,58,3.3,11.1186,77.4536
Tiruvarur,Block_986,295047,77.2,29,168,9.2,12.0967,76.5561
Ramanathapuram,Block_987,289140,76.0,5,145,13.6,13.3244,77.5102
Chennai,Block_988,164786,66.7,46,95,5.0,8.0152,80.1845
Nilgiris,Block_989,442672,67.5,6,174,6.0,11.5329,79.0562
Nilgiris,Block_990,263100,75.1,67,195,14.7,10.1071,80.1946
Theni,Block_991,109503,74.2,55,45,3.5,13.3597,76.9647
Nagapattinam,Block_992,89671,80.3,67,188,4.2,13.4788,78.8309
Pudukkottai,Block_993,244670,79.6,73,174,11.1,13.4634,78.3553
Dindigul,Block_994,277815,83.7,40,193,11.8,12.9113,77.0614
Viluppuram,Block_995,338896,73.7,78,102,13.4,9.8746,80.1427
Pudukkottai,Block_996,255151,79.4,8,152,5.5,8.0519,79.5278
Tirunelveli,Block_997,257736,70.5,36,90,9.5,9.1869,76.6753
Tirunelveli,Block_998,321687,66.1,66,72,13.7,9.5024,77.8382
Tiruvarur,Block_999,133215,71.0,68,75,5.8,12.5852,78.1136
Vellore,Block_1000,375320,66.7,35,83,13.7,10.108,78.8436
Tiruppur,Block_1001,225189,89.1,25,144,4.4,8.0579,76.9075
Tirunelveli,Block_1002,308847,66.8,55,80,8.2,9.7601,76.6884
Vellore,Block_1003,398048,65.0,27,22,9.8,13.0446,77.7071
Theni,Block_1004,405078,70.5,68,160,14.9,8.731,80.3273
Coimbatore,Block_1005,76811,66.1,65,81,13.5,9.9374,77.4152
Dindigul,Block_1006,58071,91.7,27,128,6.6,8.2296,79.5308
Vellore,Block_1007,439827,83.7,45,74,6.3,8.1367,80.3205
Vellore,Block_1008,364083,79.1,49,134,4.1,11.0698,80.2104
Madurai,Block_1009,354566,65.9,28,101,10.7,8.5877,78.6748
Nilgiris,Block_1010,293533,79.4,50,155,8.4,12.1968,80.1597
Madurai,Block_1011,264081,84.1,38,132,5.7,8.1856,79.1579
Viluppuram,Block_1012,335543,86.6,8,30,7.9,8.7019,78.0821
Madurai,Block_1013,440064,82.3,12,168,10.1,13.3969,76.9636
Thanjavur,Block_1014,343982,90.4,9,195,4.6,12.7858,80.2764
Namakkal,Block_1015,138135,72.1,22,185,5.6,12.0409,76.5094
Viluppuram,Block_1016,87387,89.7,29,113,5.2,12.7972,76.7469
Thanjavur,Block_1017,137936,67.1,15,22,14.2,12.3592,77.7696
Thanjavur,Block_1018,118012,67.1,47,116,11.7,8.0258,77.5674
Thoothukudi,Block_1019,57964,66.8,50,129,3.2,12.5948,78.9786
Nagapattinam,Block_1020,281119,89.8,50,186,10.3,13.1444,77.7438
Nilgiris,Block_1021,321775,88.0,3,46,10.9,9.7653,76.1881
Salem,Block_1022,64122,68.2,78,35,14.6,10.6007,77.9812
Salem,Block_1023,114717,66.4,18,189,3.1,8.5243,76.3578
Pudukkottai,Block_1024,130645,67.8,76,105,5.1,12.6706,80.3631
Trichy,Block_1025,285604,82.0,22,138,6.9,10.2646,76.3012
Ariyalur,Block_1026,441399,78.2,38,161,7.1,9.9981,76.3536
Erode,Block_1027,234127,70.7,22,142,14.7,12.2368,80.2129
Nilgiris,Block_1028,206812,90.0,41,182,14.4,12.577,78.4727
Thanjavur,Block_1029,400921,91.8,22,159,6.5,8.9129,77.7167
Theni,Block_1030,436170,73.7,60,162,5.3,13.2003,78.4472
Trichy,Block_1031,219857,90.7,42,135,14.1,12.1739,79.7198
Theni,Block_1032,418636,89.1,38,72,11.9,9.9012,79.8668
Nilgiris,Block_1033,247749,70.7,44,65,9.3,10.7757,77.2513
Ramanathapuram,Block_1034,409717,71.1,4,138,11.5,10.0661,78.3354
Madurai,Block_1035,98244,71.1,60,168,8.9,10.6109,78.2957
Ramanathapuram,Block_1036,151760,78.7,51,194,3.0,13.4367,77.2641
Trichy,Block_1037,244167,77.5,29,111,8.8,9.839,77.6147
Nilgiris,Block_1038,490169,81.8,50,167,4.2,8.5923,77.807
Viluppuram,Block_1039,106507,70.6,57,45,12.3,10.8084,79.1576
Tiruvallur,Block_1040,441154,65.8,46,161,6.1,13.4401,78.8541
Vellore,Block_1041,384085,91.7,40,78,6.8,11.9493,76.3773
Thoothukudi,Block_1042,179514,75.5,41,101,5.9,13.4847,76.6435
Sivagangai,Block_1043,489582,66.7,76,71,4.3,8.2457,78.15
Nagapattinam,Block_1044,481158,71.6,29,28,3.3,12.4536,79.0178
Krishnagiri,Block_1045,412894,80.2,24,114,14.7,8.614,77.8449
Pudukkottai,Block_1046,486132,81.6,65,176,12.4,13.0838,77.7951
Tiruvallur,Block_1047,307187,82.8,14,56,3.1,9.3218,78.5815
Dindigul,Block_1048,104489,77.3,15,63,3.8,10.0453,78.4812
Dindigul,Block_1049,65875,75.1,4,126,13.6,10.6357,77.6002
Dindigul,Block_1050,479208,89.1,31,105,4.1,8.8984,76.6491
Dindigul,Block_1051,449922,75.9,31,69,6.4,12.3817,77.4066
Tiruvallur,Block_1052,460175,79.5,45,52,9.5,9.7621,76.4018
Pudukkottai,Block_1053,366062,91.0,53,131,13.0,13.3483,78.0816
Virudhunagar,Block_1054,134676,89.9,4,40,7.9,13.401,78.3348
Salem,Block_1055,112193,77.8,49,137,5.5,10.1845,78.063
Madurai,Block_1056,227297,87.7,51,146,6.3,8.374,78.3258
Tiruvarur,Block_1057,311049,74.2,50,37,14.5,10.9079,77.2613
Namakkal,Block_1058,470775,66.7,73,90,12.3,8.0618,76.8426
Thanjavur,Block_1059,486637,75.1,75,116,4.5,12.7534,79.5797
Nagapattinam,Block_1060,79886,67.4,62,143,5.4,10.0426,77.5524
Ramanathapuram,Block_1061,435742,68.2,52,59,7.3,11.8501,77.5581
Viluppuram,Block_1062,339273,67.1,77,157,3.5,9.6216,76.4958
Theni,Block_1063,378809,91.8,27,98,3.8,10.2777,80.161
Tirunelveli,Block_1064,339632,90.2,80,138,5.3,11.5956,80.201
Tiruvallur,Block_1065,138476,67.9,33,53,3.3,8.6476,78.3683
Trichy,Block_1066,410648,70.3,67,188,9.6,11.4713,76.329
Karur,Block_1067,85066,76.5,35,181,10.9,12.9662,76.0427
Namakkal,Block_1068,323477,69.2,35,200,11.0,9.0966,77.2776
Thanjavur,Block_1069,243594,69.2,45,163,7.9,8.4672,79.1728
Viluppuram,Block_1070,121186,77.1,16,199,7.9,12.8967,78.5164
Krishnagiri,Block_1071,206626,68.9,74,25,5.1,10.5144,77.85
Virudhunagar,Block_1072,486866,80.8,28,179,9.6,11.5564,79.4231
Thoothukudi,Block_1073,388117,83.3,70,112,8.6,10.1759,77.611
Viluppuram,Block_1074,147734,73.8,4,80,4.5,12.6895,76.6211
Cuddalore,Block_1075,56942,76.9,41,158,9.5,9.03,78.8371
Nilgiris,Block_1076,348091,68.5,52,143,11.2,8.2914,79.4415
Erode,Block_1077,491224,81.8,15,161,10.2,11.5947,77.488
Tiruppur,Block_1078,137453,87.7,79,133,14.0,8.4972,79.5098
Salem,Block_1079,491557,68.6,22,133,8.4,9.3774,78.4454
Theni,Block_1080,266656,89.4,61,60,7.2,13.3446,79.3313
Krishnagiri,Block_1081,472616,73.1,30,29,7.6,12.4698,80.2594
Kanchipuram,Block_1082,417653,70.5,8,55,6.8,9.0488,76.4977
Krishnagiri,Block_1083,299844,76.9,56,38,10.7,11.5176,77.7963
Erode,Block_1084,457646,84.4,39,46,14.5,11.8168,80.2722
Sivagangai,Block_1085,405979,68.3,19,189,6.3,11.1128,78.1063
Kanchipuram,Block_1086,147182,91.6,73,159,10.8,11.5677,80.2485
Vellore,Block_1087,402298,67.4,29,146,9.0,8.4284,77.1258
Perambalur,Block_1088,430363,65.3,17,155,5.3,12.1806,77.9939
Coimbatore,Block_1089,329121,70.1,72,198,13.3,8.427,79.8352
Ariyalur,Block_1090,317629,65.9,37,23,6.0,10.7126,78.5747
Ramanathapuram,Block_1091,247343,83.5,4,85,12.4,10.7741,78.508
Pudukkottai,Block_1092,458487,68.8,50,146,10.4,11.1267,79.3318
Cuddalore,Block_1093,115467,73.2,21,116,7.5,11.2145,79.0425
Thanjavur,Block_1094,399814,70.2,74,123,5.3,11.2006,80.2427
Namakkal,Block_1095,378982,68.1,66,166,10.6,12.8628,76.383
Trichy,Block_1096,69678,83.9,73,108,13.1,8.568,80.4518
Tiruvallur,Block_1097,398414,76.7,17,91,11.6,8.9476,79.8982
Erode,Block_1098,203978,88.8,70,62,6.9,12.2879,76.786
Tiruvallur,Block_1099,431120,78.4,31,85,13.6,12.8267,80.2106
Salem,Block_1100,419450,78.3,21,77,8.0,10.4802,78.4052
Ramanathapuram,Block_1101,390057,76.1,76,85,6.0,10.8612,76.8941
Sivagangai,Block_1102,170279,72.9,2,66,10.5,13.4609,76.2424
Namakkal,Block_1103,435909,83.1,24,95,4.6,10.2854,79.9221
Kanchipuram,Block_1104,288438,79.9,75,37,7.1,11.1738,76.541
Madurai,Block_1105,239487,91.3,9,65,11.1,11.9626,78.63
Pudukkottai,Block_1106,245974,85.0,63,141,12.1,11.5828,77.6559
Namakkal,Block_1107,178765,77.9,47,129,12.3,13.3194,76.8611
Namakkal,Block_1108,473656,86.7,37,187,13.8,13.4602,76.15
Kanchipuram,Block_1109,149709,78.6,61,77,13.3,11.8264,79.4308
Virudhunagar,Block_1110,327123,68.3,78,100,5.7,10.5224,77.8466
Theni,Block_1111,56182,71.3,71,75,13.5,11.2017,79.8329
Perambalur,Block_1112,300287,90.2,18,199,11.8,10.9984,77.3775
Sivagangai,Block_1113,486737,82.0,27,135,5.6,9.651,77.6643
Nilgiris,Block_1114,341660,91.6,13,30,8.0,8.5861,76.5051
Nilgiris,Block_1115,301786,79.5,64,173,4.3,10.6824,77.669
Cuddalore,Block_1116,131797,75.3,3,158,11.4,8.9648,76.9929
Chennai,Block_1117,372245,68.1,8,197,11.2,10.0564,78.1528
Virudhunagar,Block_1118,418181,87.0,67,184,6.4,8.0438,77.6705
Thoothukudi,Block_1119,424834,82.3,47,143,3.6,11.7646,78.0228
Thoothukudi,Block_1120,202185,77.3,52,182,3.4,10.4417,78.4022
Trichy,Block_1121,394925,65.5,22,74,11.2,8.509,76.0273
Chennai,Block_1122,74199,71.9,14,126,12.6,10.2751,77.1705
Karur,Block_1123,274531,67.2,42,189,10.3,10.2794,77.9043
Coimbatore,Block_1124,376006,81.5,42,62,4.8,10.8377,78.8258
Trichy,Block_1125,379226,73.6,66,129,11.0,12.3053,77.7248
Perambalur,Block_1126,63783,83.4,78,74,4.9,8.4852,79.367
Ariyalur,Block_1127,425654,85.5,80,193,7.9,12.787,77.9354
Perambalur,Block_1128,100955,66.0,68,143,6.6,12.7437,77.7983
Virudhunagar,Block_1129,403765,73.5,17,115,4.1,9.9413,78.6415
Ramanathapuram,Block_1130,441140,76.9,61,175,4.7,8.2917,78.787
Vellore,Block_1131,275003,86.7,26,115,10.2,9.2807,79.3458
Tiruvallur,Block_1132,113107,84.8,30,114,12.2,9.5599,79.6174
Ariyalur,Block_1133,168905,72.7,69,98,11.2,8.1629,78.8223
Kanchipuram,Block_1134,73781,78.9,60,186,8.7,8.2613,80.1444
Perambalur,Block_1135,333637,83.6,18,63,9.8,10.8067,76.6704
Virudhunagar,Block_1136,125242,76.8,38,180,4.5,11.6834,78.1856
Thoothukudi,Block_1137,404285,83.5,19,176,14.5,9.4172,79.8344
Tiruvallur,Block_1138,242476,72.0,45,189,10.4,9.3016,79.3047
Vellore,Block_1139,222769,87.2,56,170,3.5,10.5534,77.0946
Tirunelveli,Block_1140,371664,89.7,53,121,11.5,9.3029,78.5897
Cuddalore,Block_1141,448907,83.7,71,45,14.8,11.4513,76.73
Krishnagiri,Block_1142,211889,84.1,25,40,4.2,9.4802,79.9196
